syllable,latin,count,first_file
न्तिं,ntiṃ,1217,s0101m.mul.xml
ङ्ख्या,ṅkhyā,1205,s0501m.mul.xml
ण्ठ,ṇṭha,1202,s0101m.mul.xml
टिं,ṭiṃ,1196,s0102m.mul.xml
य्यु,yyu,1195,s0101m.mul.xml
ङ्खं,ṅkhaṃ,1178,s0101m.mul.xml
ञ्छ,ñcha,1147,s0102m.mul.xml
न्धिं,ndhiṃ,1144,s0101m.mul.xml
ञ्ह,ñha,1113,s0101m.mul.xml
म्मू,mmū,1110,s0101m.mul.xml
ट्टा,ṭṭā,1064,s0101m.mul.xml
न्दी,ndī,1063,s0101m.mul.xml
च्छु,cchu,1062,s0202m.mul.xml
ब्भे,bbhe,1030,s0102m.mul.xml
न्व,nva,1017,s0101m.mul.xml
ग्रो,gro,998,s0101m.mul.xml
भिं,bhiṃ,992,s0102m.mul.xml
प्फि,pphi,974,s0301m.mul.xml
ङ्कि,ṅki,970,s0101m.mul.xml
न्वा,nvā,966,s0101m.mul.xml
ड,ḍa,949,s0102m.mul.xml
थी,thī,940,s0101m.mul.xml
ङ्कं,ṅkaṃ,920,s0101m.mul.xml
ग्गिं,ggiṃ,896,s0101m.mul.xml
म्मी,mmī,895,s0102m.mul.xml
ळ्हा,ḷhā,871,s0101m.mul.xml
न्थो,ntho,866,s0103m.mul.xml
घे,ghe,864,s0102m.mul.xml
ङ्ख्ये,ṅkhye,850,s0305m.mul.xml
प्फं,pphaṃ,840,s0102m.mul.xml
ठं,ṭhaṃ,814,s0201m.mul.xml
द्दु,ddu,806,s0101m.mul.xml
ग्गी,ggī,802,s0101m.mul.xml
ल्य,lya,796,s0103m.mul.xml
क्खिं,kkhiṃ,794,s0102m.mul.xml
द्र,dra,793,s0101m.mul.xml
ड्ढा,ḍḍhā,784,s0101m.mul.xml
ह्मु,hmu,784,s0101m.mul.xml
पिं,piṃ,773,s0101m.mul.xml
ब्भं,bbhaṃ,772,s0102m.mul.xml
ग्घो,ggho,747,s0101m.mul.xml
ख्या,khyā,746,s0101a.att.xml
ङ्खि,ṅkhi,744,s0101m.mul.xml
ण्हो,ṇho,737,s0101m.mul.xml
न्ह,nha,722,s0102m.mul.xml
ट्टो,ṭṭo,719,s0101m.mul.xml
न्धी,ndhī,704,s0201m.mul.xml
य्वा,yvā,704,s0101m.mul.xml
व्ह,vha,700,s0101m.mul.xml
म्भं,mbhaṃ,689,s0101m.mul.xml
त्रि,tri,680,s0101m.mul.xml
स्व,sva,678,s0102m.mul.xml
ज्झु,jjhu,674,s0102m.mul.xml
गुं,guṃ,670,s0102m.mul.xml
चुं,cuṃ,666,s0101m.mul.xml
ळिं,ḷiṃ,664,s0201m.mul.xml
न्थे,nthe,648,s0101m.mul.xml
जुं,juṃ,626,s0101m.mul.xml
ङ्ख्यं,ṅkhyaṃ,605,s0103m.mul.xml
ड्डि,ḍḍi,601,s0102m.mul.xml
त्तू,ttū,581,s0101m.mul.xml
ञ्छि,ñchi,577,s0101m.mul.xml
प्य,pya,576,s0515m.mul.xml
डं,ḍaṃ,563,s0103m.mul.xml
ड्ढो,ḍḍho,556,s0101m.mul.xml
प्फे,pphe,554,s0102m.mul.xml
म्बं,mbaṃ,539,s0101m.mul.xml
ड्डु,ḍḍu,536,s0102m.mul.xml
ड्ड,ḍḍa,533,s0103m.mul.xml
ख्वा,khvā,516,s0102m.mul.xml
ग्य,gya,513,s0103m.mul.xml
ब्यू,byū,509,s0101m.mul.xml
ळ्ही,ḷhī,507,s0201m.mul.xml
क्यं,kyaṃ,505,s0202m.mul.xml
न्दिं,ndiṃ,501,s0101m.mul.xml
ड्ढं,ḍḍhaṃ,500,s0101m.mul.xml
ब्बी,bbī,498,s0103m.mul.xml
म्बे,mbe,487,s0102m.mul.xml
स्ने,sne,486,s0101m.mul.xml
